Temp,Setpoint,Output,TempPWM,SetpointPWM,Status,,
35.22,37,255,65.85,67.23,hello,,
35.29,37,255,65.91,67.23,hello,,
35.32,37,255,65.93,67.23,hello,,
35.36,37,255,65.96,67.23,hello,,
35.36,37,255,65.96,67.23,hello,,
35.42,37,255,66.01,67.23,hello,,
35.42,37,255,66.01,67.23,hello,,
35.49,37,255,66.06,67.23,hello,,
35.53,37,255,66.09,67.23,hello,,
35.53,37,255,66.09,67.23,hello,,
35.59,37,255,66.14,67.23,hello,,
35.63,37,255,66.17,67.23,hello,,
35.66,37,255,66.19,67.23,hello,,
35.7,37,254.48,66.22,67.23,hello,,
35.73,37,249.87,66.25,67.23,hello,,
35.76,37,245.21,66.27,67.23,hello,,
35.8,37,240.61,66.3,67.23,hello,,
35.83,37,235.99,66.32,67.23,hello,,
35.87,37,231.33,66.35,67.23,hello,,
35.9,37,226.72,66.38,67.23,hello,,
35.93,37,222.09,66.4,67.23,hello,,
35.97,37,217.46,66.43,67.23,hello,,
35.97,37,212.82,66.43,67.23,hello,,
36.04,37,218.66,66.48,67.23,hello,,
36.07,37,197.75,66.51,67.23,hello,,
36.1,37,198.88,66.53,67.23,hello,,
36.14,37,194.21,66.56,67.23,hello,,
36.17,37,189.57,66.59,67.23,hello,,
36.21,37,184.92,66.61,67.23,hello,,
36.24,37,180.23,66.64,67.23,hello,,
36.27,37,175.59,66.67,67.23,hello,,
36.31,37,170.93,66.69,67.23,hello,,
36.34,37,166.24,66.72,67.23,hello,,
36.41,37,161.59,66.77,67.23,hello,,
36.41,37,146.41,66.77,67.23,hello,,
36.48,37,158,66.82,67.23,hello,,
36.48,37,137.07,66.82,67.23,hello,,
36.54,37,148.65,66.88,67.23,hello,,
36.58,37,127.72,66.9,67.23,hello,,
36.61,37,128.77,66.93,67.23,hello,,
36.65,37,124.1,66.95,67.23,hello,,
36.65,37,119.41,66.95,67.23,hello,,
36.71,37,125.2,67.01,67.23,hello,,
36.71,37,104.22,67.01,67.23,hello,,
36.75,37,115.79,67.03,67.23,hello,,
36.78,37,105.33,67.06,67.23,hello,,
36.82,37,100.6,67.09,67.23,hello,,
36.88,37,95.91,67.14,67.23,hello,,
36.92,37,80.69,67.16,67.23,hello,,
