Temp,Setpoint,,,
37.02,37,60.1,67.24,67.23
37.05,37,50.01,67.27,67.23
37.05,37,45.16,67.27,67.23
37.09,37,50.4,67.29,67.23
37.09,37,40.3,67.29,67.23
37.09,37,45.54,67.29,67.23
37.09,37,45.53,67.29,67.23
37.12,37,45.52,67.32,67.23
37.12,37,35.39,67.32,67.23
37.12,37,40.64,67.32,67.23
37.16,37,40.63,67.35,67.23
37.16,37,30.53,67.35,67.23
37.16,37,35.76,67.35,67.23
37.19,37,35.74,67.37,67.23
37.19,37,25.64,67.37,67.23
37.19,37,30.87,67.37,67.23
37.22,37,30.85,67.4,67.23
37.22,37,20.74,67.4,67.23
37.19,37,25.97,67.37,67.23
37.22,37,36.05,67.4,67.23
37.22,37,20.69,67.4,67.23
37.22,37,25.92,67.4,67.23
37.26,37,25.9,67.43,67.23
37.26,37,15.76,67.43,67.23
37.26,37,21,67.43,67.23
37.26,37,20.98,67.43,67.23
37.26,37,20.96,67.43,67.23
37.26,37,20.94,67.43,67.23
37.26,37,20.92,67.43,67.23
37.26,37,20.9,67.43,67.23
37.29,37,20.88,67.45,67.23
37.29,37,10.77,67.45,67.23
37.29,37,15.99,67.45,67.23
37.29,37,15.96,67.45,67.23
37.29,37,15.94,67.45,67.23
37.29,37,15.92,67.45,67.23
37.29,37,15.9,67.45,67.23
37.29,37,15.87,67.45,67.23
37.29,37,15.85,67.45,67.23
37.29,37,15.83,67.45,67.23
37.29,37,15.81,67.45,67.23
37.29,37,15.78,67.45,67.23
37.29,37,15.76,67.45,67.23
37.29,37,15.74,67.45,67.23
37.29,37,15.72,67.45,67.23
37.29,37,15.69,67.45,67.23
37.33,37,15.67,67.48,67.23
37.29,37,5.55,67.45,67.23
37.29,37,20.87,67.45,67.23
37.26,37,15.6,67.43,67.23
37.29,37,25.67,67.45,67.23
37.29,37,10.32,67.45,67.23
37.29,37,15.54,67.45,67.23
37.29,37,15.51,67.45,67.23
37.29,37,15.49,67.45,67.23
37.29,37,15.47,67.45,67.23
37.29,37,15.45,67.45,67.23
37.29,37,15.42,67.45,67.23
37.29,37,15.4,67.45,67.23
37.26,37,15.38,67.43,67.23
37.29,37,25.45,67.45,67.23
37.26,37,10.09,67.43,67.23
37.26,37,25.41,67.43,67.23
