#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
29.70,30.00,79.29,61.58,61.82,hello
29.70,30.00,72.80,61.58,61.82,hello
29.73,30.00,72.84,61.61,61.82,hello
29.70,30.00,66.35,61.58,61.82,hello
29.73,30.00,72.93,61.61,61.82,hello
29.73,30.00,66.44,61.61,61.82,hello
29.76,30.00,66.48,61.63,61.82,hello
29.73,30.00,59.96,61.61,61.82,hello
29.76,30.00,66.56,61.63,61.82,hello
29.73,30.00,60.04,61.61,61.82,hello
29.76,30.00,66.64,61.63,61.82,hello
29.76,30.00,60.11,61.63,61.82,hello
29.76,30.00,60.15,61.63,61.82,hello
29.80,30.00,60.19,61.66,61.82,hello
29.76,30.00,53.68,61.63,61.82,hello
29.80,30.00,60.26,61.66,61.82,hello
29.80,30.00,53.75,61.66,61.82,hello
29.80,30.00,53.78,61.66,61.82,hello
29.83,30.00,53.81,61.69,61.82,hello
29.83,30.00,47.30,61.69,61.82,hello
29.80,30.00,47.33,61.66,61.82,hello
29.83,30.00,53.90,61.69,61.82,hello
29.83,30.00,47.38,61.69,61.82,hello
29.83,30.00,47.41,61.69,61.82,hello
29.83,30.00,47.44,61.69,61.82,hello
29.83,30.00,47.46,61.69,61.82,hello
29.83,30.00,47.49,61.69,61.82,hello
29.83,30.00,47.51,61.69,61.82,hello
29.86,30.00,47.54,61.71,61.82,hello
29.86,30.00,41.02,61.71,61.82,hello
29.86,30.00,41.04,61.71,61.82,hello
29.86,30.00,41.07,61.71,61.82,hello
29.83,30.00,41.09,61.69,61.82,hello
29.86,30.00,47.65,61.71,61.82,hello
29.86,30.00,41.13,61.71,61.82,hello
29.86,30.00,41.15,61.71,61.82,hello
29.86,30.00,41.18,61.71,61.82,hello
29.86,30.00,41.20,61.71,61.82,hello
29.86,30.00,41.22,61.71,61.82,hello
29.86,30.00,41.24,61.71,61.82,hello
29.90,30.00,41.26,61.74,61.82,hello
29.90,30.00,34.74,61.74,61.82,hello
29.90,30.00,34.75,61.74,61.82,hello
29.90,30.00,34.77,61.74,61.82,hello
29.90,30.00,34.78,61.74,61.82,hello
29.93,30.00,34.80,61.77,61.82,hello
29.90,30.00,28.25,61.74,61.82,hello
29.90,30.00,34.83,61.74,61.82,hello
29.90,30.00,34.84,61.74,61.82,hello
29.90,30.00,34.86,61.74,61.82,hello
29.90,30.00,34.87,61.74,61.82,hello
29.90,30.00,34.89,61.74,61.82,hello
29.90,30.00,34.90,61.74,61.82,hello
29.90,30.00,34.92,61.74,61.82,hello
29.90,30.00,34.94,61.74,61.82,hello
29.90,30.00,34.95,61.74,61.82,hello
29.90,30.00,34.97,61.74,61.82,hello
29.90,30.00,34.98,61.74,61.82,hello
29.93,30.00,35.00,61.77,61.82,hello
29.90,30.00,28.45,61.74,61.82,hello
29.93,30.00,35.02,61.77,61.82,hello
29.90,30.00,28.48,61.74,61.82,hello
29.93,30.00,35.05,61.77,61.82,hello
29.90,30.00,28.50,61.74,61.82,hello
29.93,30.00,35.08,61.77,61.82,hello
29.93,30.00,28.53,61.77,61.82,hello
29.93,30.00,28.54,61.77,61.82,hello
29.93,30.00,28.55,61.77,61.82,hello
29.90,30.00,28.56,61.74,61.82,hello
29.93,30.00,35.13,61.77,61.82,hello
29.93,30.00,28.59,61.77,61.82,hello
29.93,30.00,28.60,61.77,61.82,hello
29.93,30.00,28.61,61.77,61.82,hello
29.93,30.00,28.62,61.77,61.82,hello
29.93,30.00,28.63,61.77,61.82,hello
29.90,30.00,28.64,61.74,61.82,hello
29.93,30.00,35.21,61.77,61.82,hello
29.97,30.00,28.67,61.79,61.82,hello
29.93,30.00,22.13,61.77,61.82,hello
29.93,30.00,28.68,61.77,61.82,hello
29.90,30.00,28.69,61.74,61.82,hello
29.90,30.00,35.27,61.74,61.82,hello
29.93,30.00,35.28,61.77,61.82,hello
29.93,30.00,28.73,61.77,61.82,hello
29.90,30.00,28.74,61.74,61.82,hello
29.93,30.00,35.32,61.77,61.82,hello
29.90,30.00,28.77,61.74,61.82,hello
29.93,30.00,35.34,61.77,61.82,hello
29.93,30.00,28.80,61.77,61.82,hello
29.90,30.00,28.81,61.74,61.82,hello
29.93,30.00,35.38,61.77,61.82,hello
29.90,30.00,28.83,61.74,61.82,hello
29.90,30.00,35.41,61.74,61.82,hello
29.90,30.00,35.42,61.74,61.82,hello
29.90,30.00,35.44,61.74,61.82,hello
29.93,30.00,35.45,61.77,61.82,hello
29.90,30.00,28.91,61.74,61.82,hello
29.93,30.00,35.48,61.77,61.82,hello
29.90,30.00,28.93,61.74,61.82,hello
29.90,30.00,35.51,61.74,61.82,hello
29.90,30.00,35.52,61.74,61.82,hello
29.93,30.00,35.54,61.77,61.82,hello
29.90,30.00,28.99,61.74,61.82,hello
29.93,30.00,35.56,61.77,61.82,hello
29.90,30.00,29.02,61.74,61.82,hello
29.90,30.00,35.59,61.74,61.82,hello
29.90,30.00,35.61,61.74,61.82,hello
29.93,30.00,35.62,61.77,61.82,hello
29.93,30.00,29.07,61.77,61.82,hello
29.90,30.00,29.09,61.74,61.82,hello
29.93,30.00,35.66,61.77,61.82,hello
29.93,30.00,29.11,61.77,61.82,hello
29.90,30.00,29.12,61.74,61.82,hello
29.90,30.00,35.70,61.74,61.82,hello
29.90,30.00,35.71,61.74,61.82,hello
29.90,30.00,35.73,61.74,61.82,hello
29.90,30.00,35.74,61.74,61.82,hello
29.90,30.00,35.76,61.74,61.82,hello
29.90,30.00,35.77,61.74,61.82,hello
29.90,30.00,35.79,61.74,61.82,hello
29.93,30.00,35.81,61.77,61.82,hello
29.90,30.00,29.26,61.74,61.82,hello
29.90,30.00,35.83,61.74,61.82,hello
29.90,30.00,35.85,61.74,61.82,hello
29.90,30.00,35.86,61.74,61.82,hello
29.90,30.00,35.88,61.74,61.82,hello
29.90,30.00,35.89,61.74,61.82,hello
29.90,30.00,35.91,61.74,61.82,hello
29.90,30.00,35.93,61.74,61.82,hello
