temp,Setpoint,,,
37.05,37,18.76,67.27,67.23
37.05,37,18.75,67.27,67.23
37.05,37,18.75,67.27,67.23
37.05,37,18.74,67.27,67.23
37.02,37,18.74,67.24,67.23
37.05,37,28.7,67.27,67.23
37.05,37,13.49,67.27,67.23
37.02,37,18.73,67.24,67.23
37.02,37,28.69,67.24,67.23
37.02,37,23.44,67.24,67.23
37.02,37,23.44,67.24,67.23
37.02,37,23.44,67.24,67.23
36.99,37,23.44,67.22,67.23
36.99,37,33.4,67.22,67.23
37.02,37,28.16,67.24,67.23
37.02,37,18.2,67.24,67.23
36.99,37,23.44,67.22,67.23
37.02,37,33.4,67.24,67.23
36.99,37,18.2,67.22,67.23
36.99,37,33.4,67.22,67.23
36.99,37,28.16,67.22,67.23
36.99,37,28.16,67.22,67.23
36.99,37,28.16,67.22,67.23
36.99,37,28.16,67.22,67.23
36.95,37,28.16,67.19,67.23
36.95,37,38.16,67.19,67.23
36.95,37,32.9,67.19,67.23
36.95,37,32.91,67.19,67.23
36.95,37,32.91,67.19,67.23
36.95,37,32.91,67.19,67.23
36.95,37,32.92,67.19,67.23
36.92,37,32.92,67.16,67.23
36.95,37,42.89,67.19,67.23
36.92,37,27.69,67.16,67.23
36.92,37,42.9,67.16,67.23
36.92,37,37.66,67.16,67.23
36.88,37,37.67,67.14,67.23
36.92,37,47.64,67.16,67.23
36.92,37,32.44,67.16,67.23
36.92,37,37.69,67.16,67.23
36.92,37,37.7,67.16,67.23
36.88,37,37.7,67.14,67.23
36.88,37,47.67,67.14,67.23
36.88,37,42.44,67.14,67.23
36.88,37,42.45,67.14,67.23
36.88,37,42.45,67.14,67.23
36.88,37,42.46,67.14,67.23
36.88,37,42.47,67.14,67.23
36.85,37,42.48,67.11,67.23
36.85,37,52.48,67.11,67.23
36.85,37,47.24,67.11,67.23
36.88,37,47.25,67.14,67.23
36.85,37,37.27,67.11,67.23
36.85,37,52.53,67.11,67.23
36.85,37,47.28,67.11,67.23
36.82,37,47.29,67.09,67.23
36.82,37,57.26,67.09,67.23
36.85,37,52.04,67.11,67.23
36.82,37,42.09,67.09,67.23
36.82,37,57.3,67.09,67.23
36.82,37,52.08,67.09,67.23
36.82,37,52.09,67.09,67.23
36.82,37,52.11,67.09,67.23
36.82,37,52.12,67.09,67.23
36.78,37,52.13,67.06,67.23
36.82,37,62.11,67.09,67.23
36.78,37,46.92,67.06,67.23
36.78,37,62.14,67.06,67.23
36.78,37,56.92,67.06,67.23
36.75,37,56.93,67.03,67.23
36.75,37,66.94,67.03,67.23
36.75,37,61.7,67.03,67.23
36.75,37,61.72,67.03,67.23
36.75,37,61.74,67.03,67.23
36.75,37,61.76,67.03,67.23
36.75,37,61.78,67.03,67.23
36.75,37,61.8,67.03,67.23
36.75,37,61.82,67.03,67.23
36.71,37,61.84,67.01,67.23
36.71,37,71.82,67.01,67.23
36.71,37,66.6,67.01,67.23
36.71,37,66.62,67.01,67.23
36.71,37,66.64,67.01,67.23
36.71,37,66.67,67.01,67.23
36.71,37,66.69,67.01,67.23
36.71,37,66.71,67.01,67.23
36.71,37,66.73,67.01,67.23
36.71,37,66.76,67.01,67.23
36.68,37,66.78,66.98,67.23
36.71,37,76.76,67.01,67.23
36.68,37,61.58,66.98,67.23
36.68,37,76.81,66.98,67.23
36.68,37,71.59,66.98,67.23
36.68,37,71.62,66.98,67.23
36.65,37,71.64,66.95,67.23
36.68,37,81.66,66.98,67.23
36.65,37,66.44,66.95,67.23
36.61,37,81.71,66.93,67.23
36.65,37,86.44,66.95,67.23
36.65,37,71.27,66.95,67.23
36.65,37,76.54,66.95,67.23
36.65,37,76.56,66.95,67.23
36.61,37,76.59,66.93,67.23
36.65,37,86.58,66.95,67.23
36.61,37,71.41,66.93,67.23
36.61,37,86.64,66.93,67.23
36.61,37,81.42,66.93,67.23
36.61,37,81.45,66.93,67.23
36.58,37,81.48,66.9,67.23
36.58,37,91.48,66.9,67.23
36.58,37,86.27,66.9,67.23
36.61,37,86.3,66.93,67.23
36.58,37,76.37,66.9,67.23
36.54,37,91.6,66.88,67.23
36.58,37,96.39,66.9,67.23
36.58,37,81.17,66.9,67.23
36.58,37,86.46,66.9,67.23
36.54,37,86.49,66.88,67.23
36.54,37,96.52,66.88,67.23
36.54,37,91.3,66.88,67.23
36.54,37,91.33,66.88,67.23
36.54,37,91.37,66.88,67.23
36.54,37,91.4,66.88,67.23
36.54,37,91.44,66.88,67.23
36.54,37,91.47,66.88,67.23
36.51,37,91.51,66.85,67.23
36.51,37,101.5,66.85,67.23
36.51,37,96.3,66.85,67.23
36.51,37,96.34,66.85,67.23
36.51,37,96.38,66.85,67.23
36.51,37,96.41,66.85,67.23
36.51,37,96.45,66.85,67.23
36.51,37,96.49,66.85,67.23
36.51,37,96.53,66.85,67.23
36.48,37,96.56,66.82,67.23
36.48,37,106.56,66.82,67.23
36.48,37,101.36,66.82,67.23
36.48,37,101.4,66.82,67.23
36.48,37,101.44,66.82,67.23
36.48,37,101.48,66.82,67.23
36.44,37,101.52,66.8,67.23
36.44,37,111.52,66.8,67.23
36.44,37,106.33,66.8,67.23
36.44,37,106.37,66.8,67.23
36.44,37,106.41,66.8,67.23
36.44,37,106.46,66.8,67.23
36.44,37,106.5,66.8,67.23
36.44,37,106.54,66.8,67.23
36.41,37,106.59,66.77,67.23
36.41,37,116.59,66.77,67.23
36.44,37,111.39,66.8,67.23
36.41,37,101.48,66.77,67.23
36.41,37,116.72,66.77,67.23
36.41,37,111.53,66.77,67.23
36.41,37,111.57,66.77,67.23
36.41,37,111.62,66.77,67.23
36.41,37,111.67,66.77,67.23
36.37,37,111.71,66.74,67.23
